JobTitle,JobPostingURL,Locations,CompanyName,CompanyTagline,CompanyFounded,EmployeeCount,AboutCompany,Job ID,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Skill9,Skill10
Graphic Designer,https://www.instahyre.com/job-311849-graphic-designer-at-pawfect-foods-noida/,Noida,Pawfect Foods,"Naturally delicious, naturally nutritious",2018.0,10,"Pawfect is a global dog food manufacturer delivering the highest food safety and quality standards with diverse flavors and nutritional ingredients, upheld by rigorous training programs, via an e-commerce platform. ",311849,2D Animation,3D Animation,Graphic Design,Corel Draw,Illustrator,Photoshop,,,,
Business Analyst (Presales),https://www.instahyre.com/job-324195-business-analyst-presales-at-makerobos-innovation-labs-work-from-home/,Work From Home,Makerobos Innovation Labs,Build enterprise chatbot for sales & marketing,2018.0,10,"Makerobos builds enterprise chatbot for sales & marketing specializing in Machine Learning, Internet of things, Smart Recommendation Engines, Conversational AI, Speech AI, etc.",324195,Business Development,Corporate Sales,Direct Sales,International Sales,Sales,,,,,
SDET,https://www.instahyre.com/job-261010-sdet-at-airstack-work-from-home/,Work From Home,Airstack,Future of data-awareness and interoperability,2022.0,10,"Airstack is a IT services company that provides an AI-powered web3 developer platform, enabling developers to query and integrate any web3 on-chain data and related off-chain data into their applications. ",261010,API Testing,Automation Testing,Postman,Python,,,,,,
Lead Backend Engineer,https://www.instahyre.com/job-286620-lead-backend-engineer-at-airstack-work-from-home/,Work From Home,Airstack,Future of data-awareness and interoperability,2022.0,10,"Airstack is a IT services company that provides an AI-powered web3 developer platform, enabling developers to query and integrate any web3 on-chain data and related off-chain data into their applications. ",286620,Golang,Kafka,,,,,,,,
Fullstack Engineer,https://www.instahyre.com/job-330125-fullstack-engineer-at-narvar-bangalore/,Bangalore,Narvar,Simplify the everyday lives of consumers,2012.0,200,"Narvar helps retailers champion their customers at every step of the journey specializing in Pre-purchase delivery prediction, branded package tracking, seamless returns and exchanges, in-store experiences, etc. ",330125,Node.js,React.js,Redux,JavaScript,Express.js,,,,,
Back End Developer - Blockchain,https://www.instahyre.com/job-261088-back-end-developer-blockchain-at-airstack-work-from-home/,Work From Home,Airstack,Future of data-awareness and interoperability,2022.0,10,"Airstack is a IT services company that provides an AI-powered web3 developer platform, enabling developers to query and integrate any web3 on-chain data and related off-chain data into their applications. ",261088,Blockchain,Ethereum,Golang,Kafka,,,,,,
Customer Support Representative,https://www.instahyre.com/job-325468-customer-support-representative-at-ienergizer-2-noida/,Noida,iEnergizer,Global provider of business process outsourcing,2000.0,1000,"iEnergizer is a business process outsourcing provider of customer management solutions such as customer care, technical support, market research, testing, and more to healthcare, BFSI, gaming, and other sectors. ",325468,Customer Service,Customer Interaction,Customer Relationship,,,,,,,
Senior Software Engineer,https://www.instahyre.com/job-326138-senior-software-engineer-at-squareshift-bangalore/,Bangalore,Squareshift,We focus on improvements as well as new trends in cloud computing,2019.0,50,"SquareShift caters to a cloud-based platform for enterprises, specializing in a DevOps Enablement package helps the enterprises to build a fully automated DevOps infrastructure and deployment pipelines.",326138,AWS,Golang,Google Cloud,Python,,,,,,
Customer Care Executive,https://www.instahyre.com/job-316402-customer-care-executive-at-24-7-intouch-noida/,Noida,24-7 Intouch,Providing value-driven customer service solutions,2000.0,1000,"24-7 Intouch is a global contact center outsourcing company that delivers customer service solutions including a multichannel approach, via voice, live chat, e-mail, and social media management to global clients. ",316402,Customer Service,Customer Relationship,Customer Interaction,,,,,,,
Java Developer,https://www.instahyre.com/job-328233-java-developer-at-techverito-pune/,Pune,TechVerito,Turning ideas into reality,2016.0,50,"TechVerito is an IT & Services company that offers services & solutions clustered around Web & Mobile Application Development, Continuous Integration & Delivery, Agile Consulting, etc. ",328233,Java,Spring,,,,,,,,
